Path:	
C:\Users\kastriots\Google Drive\Measurement data\Plat_FacingAnt_11613.txt	

Owner:	
Robert Jones	

Description:	
	
-----------------------------------------------------------------	


X - Axis	Y - Axis
	
2690.00000000	-0.00021362
2700.00000000	0.00024414
2710.00000000	0.00105286
2720.00000000	0.00122834
2730.00000000	0.00096131
2740.00000000	0.00048828
2750.00000000	-0.00044251
2760.00000000	-0.00061799
2770.00000000	-0.00039673
2780.00000000	-0.00012207
2790.00000000	0.00036621
2800.00000000	0.00034333
2810.00000000	-0.00008392
2820.00000000	-0.00041199
2830.00000000	-0.00100709
2840.00000000	-0.00102235
2850.00000000	-0.00052643
2860.00000000	-0.00018311
2870.00000000	0.00059510
2880.00000000	0.00067139
2890.00000000	0.00020599
2900.00000000	-0.00023651
2910.00000000	-0.00124360
2920.00000000	-0.00144196
2930.00000000	-0.00150300
2940.00000000	-0.00142670
2950.00000000	-0.00145722
2960.00000000	-0.00158692
2970.00000000	-0.00138093
2980.00000000	-0.00081635
2990.00000000	0.00114442
3000.00000000	0.00189973
3010.00000000	0.00251772
3020.00000000	0.00205232
3030.00000000	0.00022888
3040.00000000	-0.00037384
3050.00000000	-0.00072480
3060.00000000	-0.00041962
3070.00000000	0.00035858
3080.00000000	0.00025940
3090.00000000	-0.00053406
3100.00000000	-0.00096131
3110.00000000	-0.00123597
3120.00000000	-0.00086976
3130.00000000	-0.00032044
3140.00000000	-0.00029755
3150.00000000	-0.00063324
3160.00000000	-0.00080109
3170.00000000	-0.00089264
3180.00000000	-0.00074768
3190.00000000	-0.00047302
3200.00000000	-0.00042725
3210.00000000	-0.00041199
3220.00000000	-0.00034333
3230.00000000	-0.00003052
3240.00000000	0.00014496
3250.00000000	0.00059510
3260.00000000	0.00081635
3270.00000000	0.00152589
3280.00000000	0.00200655
3290.00000000	0.00354005
3300.00000000	0.00434116
3310.00000000	0.00612643
3320.00000000	0.00647739
3330.00000000	0.00682071
3340.00000000	0.00659946
3350.00000000	0.00533298
3360.00000000	0.00432590
3370.00000000	0.00132752
3380.00000000	-0.00018311
3390.00000000	-0.00289156
3400.00000000	-0.00354005
3410.00000000	-0.00396731
3420.00000000	-0.00363924
3430.00000000	-0.00248720
3440.00000000	-0.00211336
3450.00000000	-0.00190736
3460.00000000	-0.00211336
3470.00000000	-0.00276949
3480.00000000	-0.00293733
3490.00000000	-0.00283052
3500.00000000	-0.00244905
3510.00000000	-0.00127412
3520.00000000	-0.00069428
3530.00000000	0.00030518
3540.00000000	0.00050354
3550.00000000	0.00060273
3560.00000000	0.00048828
3570.00000000	0.00002289
3580.00000000	-0.00022125
3590.00000000	-0.00115205
3600.00000000	-0.00161744
3610.00000000	-0.00227357
3620.00000000	-0.00225832
3630.00000000	-0.00182343
3640.00000000	-0.00146485
3650.00000000	-0.00070191
3660.00000000	-0.00035858
3670.00000000	0.00025940
3680.00000000	0.00037384
3690.00000000	0.00021362
3700.00000000	-0.00006104
3710.00000000	-0.00110627
3720.00000000	-0.00169373
3730.00000000	-0.00267030
3740.00000000	-0.00285341
3750.00000000	-0.00264741
3760.00000000	-0.00222780
3770.00000000	-0.00100709
3780.00000000	-0.00035095
3790.00000000	0.00067902
3800.00000000	0.00078583
3810.00000000	0.00044251
3820.00000000	0.00030518
3830.00000000	0.00051880
3840.00000000	0.00098420
3850.00000000	0.00144959
3860.00000000	0.00112916
3870.00000000	-0.00057984
3880.00000000	-0.00153352
3890.00000000	-0.00275423
3900.00000000	-0.00250246
3910.00000000	-0.00110627
3920.00000000	-0.00032044
3930.00000000	0.00114442
3940.00000000	0.00132752
3950.00000000	0.00114442
3960.00000000	0.00072480
3970.00000000	-0.00041962
3980.00000000	-0.00081635
3990.00000000	-0.00134278
4000.00000000	-0.00135804
4010.00000000	-0.00116730
4020.00000000	-0.00090790
4030.00000000	-0.00001526
4040.00000000	0.00049591
4050.00000000	0.00138093
4060.00000000	0.00149537
4070.00000000	0.00120545
4080.00000000	0.00098420
4090.00000000	0.00070191
4100.00000000	0.00068665
4110.00000000	0.00036621
4120.00000000	-0.00005341
4130.00000000	-0.00145722
4140.00000000	-0.00189210
