Path:	
C:\Users\kastriots\Google Drive\Measurement data\Hanchi_Ref3_11609.txt	

Owner:	
Robert Jones	

Description:	
	
-----------------------------------------------------------------	


X - Axis	Y - Axis
	
2420.00000000	-0.00081635
2430.00000000	-0.00043488
2440.00000000	0.00067139
2450.00000000	0.00064850
2460.00000000	-0.00059510
2470.00000000	-0.00107575
2480.00000000	-0.00164796
2490.00000000	-0.00125886
2500.00000000	-0.00024414
2510.00000000	-0.00016022
2520.00000000	-0.00061036
2530.00000000	-0.00085450
2540.00000000	-0.00102235
2550.00000000	-0.00086976
2560.00000000	-0.00050354
2570.00000000	-0.00046540
2580.00000000	-0.00053406
2590.00000000	-0.00051117
2600.00000000	-0.00028992
2610.00000000	-0.00010681
2620.00000000	0.00019074
2630.00000000	0.00030518
2640.00000000	0.00074005
2650.00000000	0.00114442
2660.00000000	0.00234987
2670.00000000	0.00301363
2680.00000000	0.00405887
2690.00000000	0.00408176
2700.00000000	0.00340272
2710.00000000	0.00290681
2720.00000000	0.00200655
2730.00000000	0.00168610
2740.00000000	0.00083924
2750.00000000	0.00030518
2760.00000000	-0.00104523
2770.00000000	-0.00158692
2780.00000000	-0.00203706
2790.00000000	-0.00169373
2800.00000000	-0.00045777
2810.00000000	0.00012970
2820.00000000	0.00047302
2830.00000000	0.00006866
2840.00000000	-0.00135804
2850.00000000	-0.00200655
2860.00000000	-0.00259401
2870.00000000	-0.00216676
2880.00000000	-0.00045014
2890.00000000	0.00039673
2900.00000000	0.00168610
2910.00000000	0.00178529
2920.00000000	0.00142670
2930.00000000	0.00115968
2940.00000000	0.00074768
2950.00000000	0.00068665
2960.00000000	0.00042725
2970.00000000	0.00012207
2980.00000000	-0.00078583
2990.00000000	-0.00111390
3000.00000000	-0.00196077
3010.00000000	-0.00222017
3020.00000000	-0.00232698
3030.00000000	-0.00193024
3040.00000000	-0.00061036
3050.00000000	0.00017548
3060.00000000	0.00110627
3070.00000000	0.00078583
3080.00000000	-0.00091553
3090.00000000	-0.00198366
3100.00000000	-0.00405124
3110.00000000	-0.00442508
3120.00000000	-0.00401309
3130.00000000	-0.00333406
3140.00000000	-0.00144196
3150.00000000	-0.00061036
3160.00000000	0.00063324
3170.00000000	0.00069428
3180.00000000	0.00032807
3190.00000000	0.00021362
3200.00000000	0.00088501
3210.00000000	0.00152589
3220.00000000	0.00276186
3230.00000000	0.00249483
3240.00000000	0.00012970
3250.00000000	-0.00131989
3260.00000000	-0.00341798
3270.00000000	-0.00338747
3280.00000000	-0.00196077
3290.00000000	-0.00116730
3300.00000000	0.00057984
3310.00000000	0.00099946
3320.00000000	0.00131226
3330.00000000	0.00105286
3340.00000000	0.00008392
3350.00000000	-0.00048065
3360.00000000	-0.00167847
